id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
1040,蚩尤,露台,神话,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
228,熬夜,次日困,生活,,hint_like_high,70-90,70,二者有先后顺序,
689,教程,运动,游戏,,nonsense_low,0-20,2,毫无关联,
1036,依恋,狼美人,情感,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
673,父亲节,哑巴吃黄连,节日,,cross_category_low,0-30,7,二者不搭界,
698,大暑,辅黄帝,节日,,nonsense_low,0-20,2,毫无关联,
60,小年,小年,节日,,same_answer_exact,95-100,100,完全一样,
146,应龙,飞天,神话,,hint_like_high,70-90,80,关联度较高,
563,名侦探柯南,旋转,动漫,,cross_category_low,0-30,7,二者不搭界,
701,李时珍,资治通鉴,人物,,nonsense_low,0-20,2,毫无关联,
442,沙拉,果汁,美食,,same_category_mid,60-70,30,都是吃的，仅此而已,
238,豆花,勺舀,美食,,hint_like_high,70-90,50,后者为前者的动作行为,
1080,盗贼,鲲鹏,狼人杀,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
72,果汁,果汁,美食,,same_answer_exact,95-100,100,完全一样,
11,销假,销假,工作,,same_answer_exact,95-100,100,完全一样,
308,销假,催办,工作,,same_category_mid,60-70,20,二者关联度低,
880,自检,自检,工作,,exact_match,98-100,100,完全一致,
776,纸里包火,鬼狐故事,歇后语,,nonsense_low,0-20,2,毫无关联,
675,租房,拍照,生活,,cross_category_low,0-30,7,二者不搭界,
453,灵笼,天空之城,动漫,,same_category_mid,60-70,50,关联度中等,
318,公会,手柄,游戏,,same_category_mid,60-70,30,关联度低,
1158,转身,按部就班,动作,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
438,国庆,万圣节,节日,,same_category_mid,60-70,30,都是节日，但关联度不高,
766,狼骑士,无一落空,狼人杀,,nonsense_low,0-20,2,毫无关联,
812,诸葛亮,孔明,人物,,alias_synonym_high,90-98,99,同一人物别名,
1030,游戏王,地理,动漫,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
677,小笼包,禁锢者,美食,,cross_category_low,0-30,7,二者不搭界,
309,汤圆,饺子,美食,,same_category_mid,60-70,70,关联度较高,
98,惊蛰,节气点,节日,,hint_like_high,70-90,70,节气点包含在节日中,
294,入职,自检,工作,,same_category_mid,60-70,10,二者完全不搭界,
882,跟踪,跟踪,工作,,exact_match,98-100,100,完全一致,
19,饺子,饺子,美食,,same_answer_exact,95-100,100,完全一样,
1005,望梅止渴,追剧,典故,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
559,立冬,后来,节日,,cross_category_low,0-30,7,二者不搭界,
841,高兴,开心,锚点词,,near_synonym_high,80,80,情绪近义,
38,翻译,翻译,学习,,same_answer_exact,95-100,100,完全一样,
553,林黛玉,挟天子,人物,,cross_category_low,0-30,7,二者不搭界,
1090,海湾,薛之谦,风景,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
475,数学,生态,学科,,same_category_mid,60-70,40,都是学科，但关联度不高,
296,露营,拍景,旅游,,same_category_mid,60-70,30,词义关联度较低,
21,法学,法学,学科,,same_answer_exact,95-100,100,完全一样,
708,张信哲,立夏,歌手,,nonsense_low,0-20,2,毫无关联,
1074,视角,滑行,游戏,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
184,守口如瓶,不外传,成语,,hint_like_high,70-90,80,关联度较高,
286,哪吒,麒麟,神话,,same_category_mid,60-70,70,种类相同,
163,土星,气体球,宇宙,,hint_like_high,70-90,60,后者范围大,
873,李白,披萨,人物,,hard_negative_low,0-20,2,跨域无关,
1089,海湾,薛之谦,风景,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
13,释然,释然,感情,,same_answer_exact,95-100,100,完全一样,
817,李白,青莲居士,人物,,alias_synonym_high,85-95,90,人物号,
93,斗罗大陆,武魂,动漫,,hint_like_high,70-90,70,都为动漫,
1096,俯冲,汇总,动作,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
819,杜甫,少陵野老,人物,,alias_synonym_high,85-95,90,人物号,
347,流星雨,陨石,宇宙,,same_category_mid,60-70,60,关联度中等,
1092,喜羊羊,掩耳盗铃,动漫,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
274,里程碑,阶段目标,工作,,hint_like_high,70-90,90,语义相近,
232,订房,确认日期,旅游,,hint_like_high,70-90,50,关联度中等,
744,向导,撞山,旅游,,nonsense_low,0-20,2,毫无关联,
780,鹤立鸡群,看高处,成语,,nonsense_low,0-20,2,毫无关联,
99,皮影,幕后操偶,文化,,hint_like_high,70-90,80,较为接近,
515,通话,养宠,生活,,same_category_mid,60-70,20,语义不同,
1050,林间,攻略,风景,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
325,韩信,文天祥,人物,,same_category_mid,60-70,30,都是历史人物，但关联度不高,
514,坐船,安检,旅游,,same_category_mid,60-70,40,都是旅游，但关联度不高,
252,鲛,海底歌,神话,,hint_like_high,70-90,80,关联度较高,
430,起身,俯卧,动作,,same_category_mid,60-70,20,语义不同,
618,阅读,骑士,学习,,cross_category_low,0-30,7,二者不搭界,
794,柳宗元,叙事,人物,,nonsense_low,0-20,2,毫无关联,
933,居安思危,常备预案,典故,,near_synonym_high,80-92,80,答案提示词（需人工复核）,
719,月食,柔美唱腔,宇宙,,nonsense_low,0-20,2,毫无关联,
1044,狗咬吕洞宾,值机,歇后语,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
893,借刀杀人,借刀杀人,典故,,exact_match,98-100,100,完全一致,
1003,宇宙,教程,宇宙,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
929,虹猫蓝兔,虹猫蓝兔,动漫,,exact_match,98-100,100,完全一致,
980,林俊杰,梁静茹,歌手,,related_mid,45-75,50,同类词（需人工复核）,
853,工作,上班,锚点词,,related_mid,80,80,场景相关,
