id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
744,向导,撞山,旅游,,nonsense_low,0-20,2,毫无关联,
486,悬崖,古镇,风景,,same_category_mid,60-70,30,都是风景，但关联度不高,
776,纸里包火,鬼狐故事,歇后语,,nonsense_low,0-20,2,毫无关联,
850,天空之城,天空之城,动漫,,exact_match,98-100,100,完全一致,
607,羞涩,跳跃,情感,,cross_category_low,0-30,7,二者不搭界,
196,侧步,左右挪,动作,,hint_like_high,70-90,70,字面意思接近，联想度不高,
827,女娲,女娲,神话,,exact_match,98-100,100,完全一致,
274,里程碑,阶段目标,工作,,hint_like_high,70-90,90,语义相近,
95,花木兰,巾帼英雄,人物,,hint_like_high,70-90,70,包含关系,
228,熬夜,次日困,生活,,hint_like_high,70-90,70,二者有先后顺序,
324,出境,背包,旅游,,same_category_mid,60-70,20,关联度低,
751,悬梁刺股,梯田,典故,,nonsense_low,0-20,2,毫无关联,
466,交付,评审,工作,,same_category_mid,60-70,40,范围接近，语义不同,
819,火锅,诸葛亮,美食,,hard_negative_low,0-20,2,跨域无关,
308,销假,催办,工作,,same_category_mid,60-70,20,二者关联度低,
565,生态,圣诞,学科,,cross_category_low,0-30,7,二者不搭界,
669,张良,悬崖,人物,,cross_category_low,0-30,7,二者不搭界,
437,樱桃小丸子,魔女宅急便,动漫,,same_category_mid,60-70,50,关联度中等,
149,粥品,清淡,美食,,hint_like_high,70-90,50,关联度中等,
283,炸鸡,烤鸭,美食,,same_category_mid,60-70,70,种类相同,
779,洗碗,面霜,生活,,nonsense_low,0-20,2,毫无关联,
286,哪吒,麒麟,神话,,same_category_mid,60-70,70,种类相同,
451,一人之下,咒术回战,动漫,,same_category_mid,60-70,50,关联度中等,
327,卧冰求鲤,围魏救赵,典故,,same_category_mid,60-70,20,成语关联度不高,
294,入职,自检,工作,,same_category_mid,60-70,10,二者完全不搭界,
238,豆花,勺舀,美食,,hint_like_high,70-90,50,后者为前者的动作行为,
442,沙拉,果汁,美食,,same_category_mid,60-70,30,都是吃的，仅此而已,
603,螺蛳粉,冬至,美食,,cross_category_low,0-30,7,二者不搭界,
