id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
390,王安石,李时珍,人物,,same_category_mid,60-70,40,都是历史人物，但关联度不高,
892,虹猫蓝兔,虹猫蓝兔,动漫,,exact_match,98-100,100,完全一致,
60,小年,小年,节日,,same_answer_exact,95-100,100,完全一样,
65,咒术回战,咒术回战,动漫,,same_answer_exact,95-100,100,完全一样,
907,背水一战,身后是河,典故,,near_synonym_high,80-92,90,答案提示词（需人工复核）,
324,出境,背包,旅游,,same_category_mid,60-70,20,关联度低,
687,触龙说赵,祭灶,典故,,nonsense_low,0-20,2,毫无关联,
537,暴击,晚睡,游戏,,cross_category_low,0-30,6,二者不搭界,
217,文天祥,丹心,人物,,hint_like_high,70-90,90,人物著作中提到丹心，关联度较高,
963,竹编,值班,文化,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
335,默写,预读,学习,,same_category_mid,60-70,20,关联度低,
986,喜羊羊,掩耳盗铃,动漫,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
265,名侦探柯南,黑衣,动漫,,hint_like_high,70-90,50,后者范围较广,
38,翻译,翻译,学习,,same_answer_exact,95-100,100,完全一样,
435,夜曲,晴天,歌曲,,same_category_mid,60-70,60,关联度中等,
1018,一鸣惊人,惊讶,,,related_mid,40-80,32,人工锚点覆盖：近义语义（弱到中关联）,manual_override
729,玄鸟,分明清楚,神话,,nonsense_low,0-20,2,毫无关联,
479,戏曲,皮影,文化,,same_category_mid,60-70,40,都是历史文化，但关联度不高,
419,张衡,班固,人物,,same_category_mid,60-70,40,都是历史人物，但关联度不高,
1010,猫,猫咪,,,alias_synonym_high,80-95,90,人工锚点覆盖：昵称与本词（反向）,manual_override
413,圣斗士,龙猫,动漫,,same_category_mid,60-70,50,关联度中等,
146,应龙,飞天,神话,,hint_like_high,70-90,80,关联度较高,
783,忐忑,群起围堵,感情,,nonsense_low,0-20,2,毫无关联,
184,守口如瓶,不外传,成语,,hint_like_high,70-90,80,关联度较高,
817,学生,学员,锚点词,,related_mid,70,70,语义接近,
698,大暑,辅黄帝,节日,,nonsense_low,0-20,2,毫无关联,
669,张良,悬崖,人物,,cross_category_low,0-30,7,二者不搭界,
93,斗罗大陆,武魂,动漫,,hint_like_high,70-90,70,都为动漫,
433,雨水,处暑,节日,,same_category_mid,60-70,30,都是节日，但关联度不高,
505,狐妖小红娘,银魂,动漫,,same_category_mid,60-70,50,关联度中等,
196,侧步,左右挪,动作,,hint_like_high,70-90,70,字面意思接近，联想度不高,
574,露台,最美的期待,旅游,,cross_category_low,0-30,7,二者不搭界,
426,瓜田李下,老鼠过街,歇后语,,same_category_mid,60-70,30,都是歇后语，但关联度不高,
981,白居易,大公无私,人物,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
441,丢垃圾,洗漱,生活,,same_category_mid,60-70,20,语义不同,
818,高兴,开心,锚点词,,near_synonym_high,80,80,情绪近义,
997,擀面杖吹火,圣斗士,歇后语,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
526,鲛人,天文,神话,,cross_category_low,0-30,10,二者不搭界,
21,法学,法学,学科,,same_answer_exact,95-100,100,完全一样,
1022,卧龙,诸葛亮,,,alias_synonym_high,80-90,85,人工精调：历史别名（反向）,manual_patch
163,土星,气体球,宇宙,,hint_like_high,70-90,60,后者范围大,
193,玄武,黑色,神话,,hint_like_high,70-90,50,玄武是四象之一，代表北方和水，虽然常被描绘为黑色，但并非其唯一特征，,
936,周杰伦,邓紫棋,歌手,,related_mid,45-75,40,同类词（需人工复核）,
481,烦闷,依恋,情感,,same_category_mid,60-70,30,都是情感，但关联度不高,
325,韩信,文天祥,人物,,same_category_mid,60-70,30,都是历史人物，但关联度不高,
345,悲伤,温馨,感情,,same_category_mid,60-70,30,关联度底,
182,狼王,强换,狼人杀,,hint_like_high,70-90,50,感觉后者根据前者分析的结果，而不是后者猜测前者,
643,自相矛盾,拿鸡毛,成语,,cross_category_low,0-30,7,二者不搭界,
292,魔女宅急便,进击的巨人,动漫,,same_category_mid,60-70,60,种类相同,
672,悲伤,碑刻,感情,,cross_category_low,0-30,7,二者不搭界,
599,蒲松龄,联机,人物,,cross_category_low,0-30,7,二者不搭界,
90,预备役,待命,狼人杀,,hint_like_high,70-90,55,内容接近,
24,悬梁刺股,悬梁刺股,典故,,same_answer_exact,95-100,100,完全一样,
849,解答,解答,学习,,exact_match,98-100,100,完全一致,
860,懊悔,懊悔,感情,,exact_match,98-100,100,完全一致,
988,一拳超人,失望,动漫,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
232,订房,确认日期,旅游,,hint_like_high,70-90,50,关联度中等,
725,植物,无顾虑,学科,,nonsense_low,0-20,2,毫无关联,
408,网球王子,游戏王,动漫,,same_category_mid,60-70,50,关联度中等,
779,洗碗,面霜,生活,,nonsense_low,0-20,2,毫无关联,
820,愤怒,生气,感情,,near_synonym_high,80,80,情绪近义,
